# 来源：填写数据库、项目、文献、样本或路径，并保留版本/日期,,,,,,,,,,
# 权限：区分公开、内部可用、需要审批、需VPN或存在合规限制,,,,,,,,,,
# 模态：基因组、转录组、表型、多模态等,,,,,,,,,,
# 标签/注释：标签名+覆盖率/版本,,,,,,,,,,
# 数据阶段：Raw/QC/Annotated/Model-ready/Application-ready,,,,,,,,,,
数据集名称,物种/品种,材料/组织/条件,数据类型/模态,数据阶段,样本/序列规模,质量指标/报告链接,标签/注释情况,存储位置/访问方式,来源/版本,权限/合规状态
玉米精英自交系全基因组变异图谱（全基因组重测序+SNP）,玉米（Zea mays；精英自交系）,28个精英自交系；叶片DNA,群体基因组（全基因组重测序+高密度SNP）,Annotated,28个自交系重测序；全基因组SNP位点（以论文为准）,Nature Genetics 2010；https://doi.org/10.1038/ng.684,品系/SNP；精英种质遗传结构与选择信号,panzea.org/data（Genotypes flat file，TASSEL 5可用）；https://doi.org/10.1038/ng.684,Lai et al. Nature Genetics 2010；Panzea项目,公开
中国玉米自交系基因组变异格局,玉米（中国玉米自交系）,中国玉米自交系群体；多组织,群体基因组（高密度基因分型/变异）,Annotated,中国玉米自交系面板（具体规模以论文为准）,Theoretical and Applied Genetics 2018；https://doi.org/10.1007/s00122-018-3072-z,品系/SNP；中国育种材料遗传改良依据,https://doi.org/10.1007/s00122-018-3072-z,Zhang et al. TAG 2018；中国农业科学院等,公开
玉米12个骨干自交系从头基因组组装与杂种优势解析,玉米（B73、Mo17等12个创始人/骨干自交系）,12个自交系；长读长测序,群体基因组（染色体级de novo组装+注释）,Annotated,12个染色体级基因组,Nature Genetics 2023；https://doi.org/10.1038/s41588-022-01283-w,基因/组装/杂种优势相关等位变异,NCBI Genome筛选Zea mays（https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=4577）,Wang et al. Nature Genetics 2023；中国农业大学等,公开
玉米HapMap2（103品系全基因组重测序变异图谱）,玉米及大刍草（野生近缘种）,103个自交系/大刍草；全基因组重测序,群体基因组（SNP/InDel/结构变异）,Annotated,"103品系；约5,500万SNP/InDel（以论文为准）",Nature Genetics 2012；https://doi.org/10.1038/ng.2313,品系/SNP/变异；转座子与基因组流动性,panzea.org/data（HapMap2 genotypic flat file）；https://doi.org/10.1038/ng.2313,Chia et al. Nature Genetics 2012；Panzea项目,公开
pan-Zea属级泛基因组图谱（721个体）,玉米属（Zea；栽培玉米+大刍草等近缘种）,721个个体；泛基因组分型,群体基因组（属级泛基因组+SV+PAV）,Model-ready,"6.71 Gb泛基因组；4.57 Gb非B73序列；58,944个泛基因；255,821个常见SV",Gui et al. 2022 Genome Biology 23:178；DOI https://doi.org/10.1186/s13059-022-02742-7；CC BY 4.0,基因/PAV/SV/结构变异；驯化相关等位变异,CNGBdb：http://db.cngb.org/search/project/CNP0002007；FigShare：https://doi.org/10.6084/m9.figshare.19097447.v1；CNCB Bioproject PRJCA010654：https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA010654,Gui et al. Genome Biology 2022；华中农业大学等,公开
CUBIC玉米合成群体遗传图谱与数据库,玉米（CUBIC合成群体：多个重组自交群体混合）,CUBIC合成群体；多性状表型,群体基因组（高密度基因型+全基因组关联/遗传图谱）,Model-ready,CUBIC群体家系数千份；大规模基因型数据,Liu et al. 2020 Genome Biology 21:20；DOI https://doi.org/10.1186/s13059-020-1930-x；,品系/性状/关联位点；遗传架构图谱,数据库 https://doi.org/10.1093/database/baaa044,Liu et al. Genome Biology 2020；华中农业大学等,公开
玉米发育多组学图谱（mRNA+蛋白质+磷酸化）,玉米（B73）,B73的23个组织/发育阶段,群体多组学（转录组+蛋白质组+磷酸化组）,Annotated,23个组织；mRNA/蛋白/磷酸化三组学,Science 2016；https://doi.org/10.1126/science.aag1125,基因/蛋白/磷酸化位点；发育阶段动态,http://www.maizegdb.org/ SRA GSE50191,Walley et al. Science 2016；密歇根州立大学等,公开
玉米籽粒代谢组全基因组关联分析（mGWAS）,玉米（多个自交系群体）,籽粒；质谱代谢组检测,群体多组学（基因型+代谢组）,Annotated,多个自交系的籽粒代谢物数据,Nature Communications 2014；https://doi.org/10.1038/ncomms4438,代谢物/SNP关联；籽粒生化途径解析,http://creativecommons.org/licenses/by-nc-sa/3.0/,Wen et al. Nature Communications 2014；华中农业大学等,需授权
玉米籽粒转录调控网络（RNA-seq+eQTL）,玉米（B73等）,籽粒发育多时期,群体多组学（转录组+调控网络与eQTL）,Annotated,籽粒发育多阶段RNA-seq（具体规模以论文为准）,Nature Communications 2013；https://doi.org/10.1038/ncomms3832,基因/调控网络/共表达模块,https://www.ncbi.nlm.nih.gov/sra?term=SRP026161,Fu et al. Nature Communications 2013,公开
玉米单细胞顺式调控元件图谱（scATAC-seq）,玉米（B73）,多组织（根/茎/叶/花等）；单细胞核,单细胞表观组（scATAC-seq）,Annotated,多组织单细胞染色质可及性图谱,Cell 2021；https://doi.org/10.1016/j.cell.2021.04.014,细胞类型/染色质可及性/顺式调控元件（CRE）,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155178,Marand et al. Cell 2021；MSU/冷泉港实验室,公开
玉米发育幼穗单细胞转录组图谱,玉米（B73等）,发育中的雌穗/雄穗,单细胞转录组（scRNA-seq）,Annotated,幼穗发育单细胞表达图谱,Developmental Cell 2021；https://doi.org/10.1016/j.devcel.2020.12.015,细胞类型/发育轨迹/性状候选基因,"(SRA) BioProjects: PRJNA646989, PRJNA646996, and PRJNA647001 详情见https://www.sciencedirect.com/science/article/pii/S1534580720310212?via%3Dihub#sec4.2.3",Xu et al. Developmental Cell 2021；冷泉港实验室（CSHL）等,公开
玉米顺式调控景观图谱（单细胞分辨率、多组织）,玉米（多基因型）,多个组织/发育阶段,单细胞表观多组学（scATAC-seq等）,Annotated,多组织单细胞染色质可及性与调控元件,Nature Genetics 2025；https://doi.org/10.1038/s41588-025-02244-9,染色质可及性/顺式调控元件/变异调控效应,https://doi.org/10.1038/s41588-025-02244-9（Data availability见论文）,Nature Genetics 2025,公开
ZEAMAP玉米多组学综合数据库,玉米（B73等多个基因型）,多组学数据整合,多模态数据库（基因组/变异/表达/调控/共表达）,Annotated,整合多套玉米公开多组学数据,Gui et al. 2020 iScience 23:101241；DOI https://doi.org/10.1016/j.isci.2020.101241,基因/变异/表达/共表达网络注释,https://db.cngb.org/zeamap/,华中农业大学 ZEAMAP；2020,公开
MaizeNetome玉米多组学网络数据库,玉米（多基因型）,多组学网络整合,多模态数据库（分子网络/基因组/转录组/变异）,Annotated,整合多套玉米多组学数据,Molecular Plant 2023；DOI https://doi.org/10.1016/j.molp.2023.08.002,分子互作网络/功能基因组注释,http://minteractome.ncpgr.cn/,Molecular Plant 2023；华中农业大学,公开
玉米群体甲基化组（814品系）,玉米（814个自交系）,幼苗；甲基化测序,群体表观基因组（DNA甲基化）,Model-ready,814个品系的甲基化水平数据,Xu et al. 2019 Genome Biology 20:243；DOI https://doi.org/10.1186/s13059-019-1859-0,品系/甲基化位点；甲基化变异与表型关联（mGWAS）,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA549173,Xu et al. Genome Biology 2019；华中农业大学等,公开
玉米叶片基因调控网络（104个转录因子ChIP-seq）,玉米（B73）,叶片；104个转录因子ChIP-seq,群体多组学（TF结合+基因调控网络）,Annotated,104个TF的ChIP-seq结合位点,Tu et al. 2020 Nature Communications 11:5089；DOI https://doi.org/10.1038/s41467-020-18832-8,TF/靶基因/调控网络,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA518749；https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137972,Tu et al. Nature Communications 2020；康奈尔大学等,公开
scMaize玉米单细胞整合图谱与基础模型,玉米（多基因型）,多组织单细胞数据整合,单细胞多组学（scRNA-seq等整合图谱+基础模型）,Annotated,整合玉米多套单细胞数据集,2026年发表；DOI https://doi.org/10.64898/2026.08.01.742180（待核验）,细胞类型/注释/表达,scMaizeAtlas https://www.scmaize.com/,scMaize 2026,公开
MaizeGenDB基因组组装数据集,玉米（Zea mays）；141份玉米种质（含90个新组装和51个已发表的高质量基因组）,玉米自交系/种质；从头基因组组装,基因组学；全基因组组装,Annotated,142个基因组组装；约586万个注释基因,组装统计信息、染色体水平组装、scaffold N50、基因组大小及每种质的基因数量,已有基因组注释；基因模型链接至种质页面,https://ngdc.cncb.ac.cn/maizegendb/,MaizeGenDB（国家基因组科学数据中心NGDC/CNCB）；当前数据库版本,公开
Mo17组织RNA-seq转录组,玉米Mo17自交系,多个组织与发育阶段,批量RNA-seq转录组学；基因表达谱,Annotated,42个组织-发育阶段RNA-seq样本,表达谱以热图、箱线图和折线图形式可视化,基因表达按组织与发育阶段注释,https://ngdc.cncb.ac.cn/maizegendb/transcriptome,Chen等，Nature Genetics 2023；Mo17v2参考基因组,公开
RNA-seq种子器官转录组,玉米B73,种子发育各阶段的珠心（nucellus）样本,批量RNA-seq转录组学,Annotated,193个种子器官RNA-seq样本,基于FPKM的表达谱，并附发育阶段注释,提供组织-发育阶段及基因功能注释,https://ngdc.cncb.ac.cn/maizegendb/transcriptome,MaizeGenDB种子器官转录组数据集,公开
玉米胚乳单细胞RNA-seq,玉米B73自交系,授粉后6-7天采集的胚乳组织,单细胞RNA测序（scRNA-seq）,Annotated,"17,022个高质量细胞；检出25,365个基因",细胞QC指标、聚类、细胞周期评分及regulon活性评分,已注释细胞类型：糊粉层（aleurone）、淀粉胚乳、BETL、ESR、EAS,https://ngdc.cncb.ac.cn/maizegendb/transcriptome_scrna,Yuan等，Nature Communications 2024,公开
玉米结构变异数据集,玉米（Zea mays）；141份玉米种质,比对至Mo17v2参考基因组的基因组组装,结构变异（SV）基因组学,Annotated,约125万个结构变异,SV类型、基因组位置及种质层面信息,提供结构变异注释,https://ngdc.cncb.ac.cn/maizegendb/variome,MaizeGenDB Mo17v2 SV数据集,公开
玉米表观基因组资源,玉米B73,幼苗、胚及果穗（ear）组织,表观基因组学；染色质标记与调控数据集,Annotated,18种染色质标记；54张组蛋白修饰图谱,可通过基因组浏览器查看染色质标记track,表观基因组track已整合至基因组浏览器,https://ngdc.cncb.ac.cn/maizegendb/epigenome,MaizeGenDB表观基因组数据集,公开
玉米表型组数据集,"玉米（Zea mays）；约3,000个玉米品种",从不同国家和年份收集的表型记录,表型组学；农艺性状,Annotated,"38,604条表型记录；16个主要性状；23个国家",提供性状描述及与种质关联的表型,提供性状注释与种质链接,https://ngdc.cncb.ac.cn/maizegendb/phenome,MaizeGenDB表型资源,公开
