# 来源：填写数据库、项目、文献、样本或路径，并保留版本/日期,,,,,,,,,,
# 权限：区分公开、内部可用、需要审批、需VPN或存在合规限制,,,,,,,,,,
# 模态：基因组、转录组、表型、多模态等,,,,,,,,,,
# 标签/注释：标签名+覆盖率/版本,,,,,,,,,,
# 数据阶段：Raw/QC/Annotated/Model-ready/Application-ready,,,,,,,,,,
数据集名称,物种/品种,材料/组织/条件,数据类型/模态,数据阶段,样本/序列规模,质量指标/报告链接,标签/注释情况,存储位置/访问方式,来源/版本,权限/合规状态
中国玉米自交系基因组变异格局,玉米（中国玉米自交系）,中国玉米自交系群体；多组织,群体基因组（高密度基因分型/变异）,Annotated,中国玉米自交系面板（具体规模以论文为准）,Theoretical and Applied Genetics 2018；https://doi.org/10.1007/s00122-018-3072-z,品系/SNP；中国育种材料遗传改良依据,https://doi.org/10.1007/s00122-018-3072-z,Zhang et al. TAG 2018；中国农业科学院等,公开
玉米12个骨干自交系从头基因组组装与杂种优势解析,玉米（B73、Mo17等12个创始人/骨干自交系）,12个自交系；长读长测序,群体基因组（染色体级de novo组装+注释）,Annotated,12个染色体级基因组,Nature Genetics 2023；https://doi.org/10.1038/s41588-022-01283-w,基因/组装/杂种优势相关等位变异,https://doi.org/10.1038/s41588-022-01283-w；NCBI Genome筛选Zea mays（https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=4577）,Wang et al. Nature Genetics 2023；中国农业大学等,公开
玉米HapMap2（103品系全基因组重测序变异图谱）,"玉米及大刍草（野生近缘种）",103个自交系/大刍草；全基因组重测序,群体基因组（SNP/InDel/结构变异）,Annotated,"103品系；约5,500万SNP/InDel（以论文为准）",Nature Genetics 2012；https://doi.org/10.1038/ng.2313,品系/SNP/变异；转座子与基因组流动性,panzea.org/data（HapMap2 genotypic flat file）；https://doi.org/10.1038/ng.2313,Chia et al. Nature Genetics 2012；Panzea项目,公开
玉米发育多组学图谱（mRNA+蛋白质+磷酸化）,玉米（B73）,B73的23个组织/发育阶段,群体多组学（转录组+蛋白质组+磷酸化组）,Annotated,23个组织；mRNA/蛋白/磷酸化三组学,"Science 2016；https://doi.org/10.1126/science.aag1125",基因/蛋白/磷酸化位点；发育阶段动态,https://doi.org/10.1126/science.aag1125（Data availability见论文）,Walley et al. Science 2016；密歇根州立大学等,公开
玉米籽粒代谢组全基因组关联分析（mGWAS）,玉米（多个自交系群体）,籽粒；质谱代谢组检测,群体多组学（基因型+代谢组）,Model-ready,多个自交系的籽粒代谢物数据（具体规模以论文为准）,Nature Communications 2014；https://doi.org/10.1038/ncomms4438,代谢物/SNP关联；籽粒生化途径解析,https://doi.org/10.1038/ncomms4438（补充材料含代谢物表型）,Wen et al. Nature Communications 2014；华中农业大学等,公开
玉米籽粒转录调控网络（RNA-seq+eQTL）,玉米（B73等）,籽粒发育多时期,群体多组学（转录组+调控网络与eQTL）,Annotated,籽粒发育多阶段RNA-seq（具体规模以论文为准）,Nature Communications 2013；https://doi.org/10.1038/ncomms3832,基因/调控网络/共表达模块,https://doi.org/10.1038/ncomms3832,Fu et al. Nature Communications 2013,公开
玉米籽粒基因表达百科全书,玉米（B73等）,籽粒发育多时期,转录组（基因表达图谱）,Annotated,籽粒发育高分辨率表达数据（具体规模以论文为准）,Journal of Integrative Plant Biology 2020；https://doi.org/10.1111/jipb.12869,基因/表达谱/发育时序,https://doi.org/10.1111/jipb.12869,Li & Wu JIPB 2020；中科院上海植物生理生态研究所,公开
玉米单细胞顺式调控元件图谱（scATAC-seq）,玉米（B73）,多组织（根/茎/叶/花等）；单细胞核,单细胞表观组（scATAC-seq）,Annotated,多组织单细胞染色质可及性图谱,"Cell 2021；https://doi.org/10.1016/j.cell.2021.04.014",细胞类型/染色质可及性/顺式调控元件（CRE）,https://doi.org/10.1016/j.cell.2021.04.014（Data availability见论文）；可用MaizeGDB浏览器查询,Marand et al. Cell 2021；MSU/冷泉港实验室,公开
玉米发育幼穗单细胞转录组图谱,玉米（B73等）,发育中的雌穗/雄穗,单细胞转录组（scRNA-seq）,Annotated,幼穗发育单细胞表达图谱,"Developmental Cell 2021；https://doi.org/10.1016/j.devcel.2020.12.015",细胞类型/发育轨迹/性状候选基因,https://doi.org/10.1016/j.devcel.2020.12.015（Data availability见论文）,Xu et al. Developmental Cell 2021；冷泉港实验室（CSHL）等,公开
玉米顺式调控景观图谱（单细胞分辨率、多组织）,玉米（多基因型）,多个组织/发育阶段,单细胞表观多组学（scATAC-seq等）,Annotated,多组织单细胞染色质可及性与调控元件,Nature Genetics 2025；https://doi.org/10.1038/s41588-025-02244-9,染色质可及性/顺式调控元件/变异调控效应,https://doi.org/10.1038/s41588-025-02244-9（Data availability见论文）,Nature Genetics 2025,公开
pan-Zea属级泛基因组图谱（721个体）,玉米属（Zea；栽培玉米+大刍草等近缘种）,721个个体；泛基因组分型,群体基因组（属级泛基因组+SV+PAV）,Model-ready,"6.71 Gb泛基因组；4.57 Gb非B73序列；58,944个泛基因；255,821个常见SV","Gui et al. 2022 Genome Biology 23:178；DOI https://doi.org/10.1186/s13059-022-02742-7；CC BY 4.0",基因/PAV/SV/结构变异；驯化相关等位变异,"CNGBdb：http://db.cngb.org/search/project/CNP0002007；FigShare：https://doi.org/10.6084/m9.figshare.19097447.v1；CNCB Bioproject PRJCA010654：https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA010654；GitHub：https://github.com/songtaogui/pan-Zea_construct",Gui et al. Genome Biology 2022；华中农业大学等,公开
ZEAMAP玉米多组学综合数据库,玉米（B73等多个基因型）,多组学数据整合,多模态数据库（基因组/变异/表达/调控/共表达）,Annotated,整合多套玉米公开多组学数据,"Gui et al. 2020 iScience 23:101241；DOI https://doi.org/10.1016/j.isci.2020.101241",基因/变异/表达/共表达网络注释,http://www.zeamap.com/,华中农业大学 ZEAMAP；2020,公开
MaizeNetome玉米多组学网络数据库,玉米（多基因型）,多组学网络整合,多模态数据库（分子网络/基因组/转录组/变异）,Annotated,整合多套玉米多组学数据,"Molecular Plant 2023；DOI https://doi.org/10.1016/j.molp.2023.08.002",分子互作网络/功能基因组注释,以论文Data availability为准,Molecular Plant 2023；华中农业大学,公开
玉米群体甲基化组（814品系）,玉米（814个自交系）,幼苗；甲基化测序,群体表观基因组（DNA甲基化）,Model-ready,814个品系的甲基化水平数据,"Xu et al. 2019 Genome Biology 20:243；DOI https://doi.org/10.1186/s13059-019-1859-0",品系/甲基化位点；甲基化变异与表型关联（mGWAS）,以论文Data availability为准,Xu et al. Genome Biology 2019；华中农业大学等,公开
CUBIC玉米合成群体遗传图谱与数据库,玉米（CUBIC合成群体：多个重组自交群体混合）,CUBIC合成群体；多性状表型,群体基因组（高密度基因型+全基因组关联/遗传图谱）,Model-ready,CUBIC群体家系数千份；大规模基因型数据,"Liu et al. 2020 Genome Biology 21:20；DOI https://doi.org/10.1186/s13059-020-1930-x；数据库 https://doi.org/10.1093/database/baaa044",品系/性状/关联位点；遗传架构图谱,MaizeCUBIC数据库（以论文为准）,Liu et al. Genome Biology 2020；华中农业大学等,公开
玉米叶片基因调控网络（104个转录因子ChIP-seq）,玉米（B73）,叶片；104个转录因子ChIP-seq,群体多组学（TF结合+基因调控网络）,Annotated,104个TF的ChIP-seq结合位点,"Tu et al. 2020 Nature Communications 11:5089；DOI https://doi.org/10.1038/s41467-020-18832-8",TF/靶基因/调控网络,以论文Data availability为准（GEO等）,Tu et al. Nature Communications 2020；康奈尔大学等,公开
G2F基因型环境互作预测竞赛数据（2024季）,玉米（多个杂交种）,330+环境；多年多点,"基因型+表型+环境（多模态预测）",Model-ready,每年多环境表型与基因型数据,"2026年刊出；DOI https://doi.org/10.1186/s13104-026-07629-5",杂交种/环境/性状/气象,CyVerse Data Commons G2F目录,G2F联盟；2024竞赛版,公开
scMaize玉米单细胞整合图谱与基础模型,玉米（多基因型）,多组织单细胞数据整合,单细胞多组学（scRNA-seq等整合图谱+基础模型）,"Annotated",整合玉米多套单细胞数据集,"2026年发表；DOI https://doi.org/10.64898/2026.08.01.742180（待核验）",细胞类型/注释/表达,以论文Data availability为准,scMaize 2026,公开
