# 深挖收集：A-群体转录组 / B-逆境·抗病转录组 / C-单细胞·空间转录组（整理日期 2026-09-07）,,,,,,,,,,,,,
# 配套：与华农玉米多维组学 Benchmark 方案（≥100 骨干亲本；全生育期+逆境抗病；bulk+单细胞）,,,,,,,,,,,,,
# 列说明：前 11 列与 maize_data_collect_merged.csv 一致；第 12 列=分类/优先级/用途（A/B/C，高/中/低）,,,,,,,,,,,,,
数据集名称,物种/品种,材料/组织/条件,数据类型/模态,数据阶段,样本/序列规模,质量指标/报告链接,标签/注释情况,存储位置/访问方式,来源/版本,权限/合规状态,分类/优先级/用途,,
【B】苗期渗透胁迫（PEG）根系转录组,玉米（多品系）,苗期根系；PEG 处理梯度,逆境转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize PEG osmotic stress "RNA-seq",浓度/时间/组织,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-中 · 渗透胁迫补充,,
【B】盐胁迫幼苗转录组（耐盐差异）,玉米（耐盐/敏感品系）,幼苗叶/根；NaCl 梯度处理,逆境转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize salt stress "RNA-seq"；GSA 检索"玉米 盐胁迫 转录组",浓度/时间/品系,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-高 · 盐胁迫专项,,
【B】高温胁迫转录组（营养期/生殖期）,玉米（多品系）,花期前后/籽粒灌浆期高温处理叶与穗,逆境转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize heat stress "RNA-seq"（floral/grain）,处理温度/时期/组织,NCBI GEO/SRA,多课题组,公开,B-高 · 高温专项,,
【B】低氮胁迫转录组（氮高效材料）,玉米（氮高效/低效品系）,苗期叶/根；低氮处理,营养胁迫转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize low nitrogen "RNA-seq",氮浓度/时间,NCBI GEO/SRA,多课题组,公开,B-中 · 营养胁迫扩展,,
【B】铝毒胁迫根系转录组（酸性土壤）,玉米（耐铝/敏感品系）,根系；铝处理,逆境转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize aluminum stress "RNA-seq",浓度/时间/品系,NCBI GEO/SRA,多课题组,公开,B-中 · 酸性土壤专项,,
【B】涝渍/淹水胁迫转录组,玉米（多品系）,苗期全株/根系；淹水处理,逆境转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize waterlogging "RNA-seq",处理时长/品系,NCBI GEO/SRA,多课题组,公开,B-中 · 涝渍补充,,
【B】玉米大斑病转录组（Setosphaeria turcica）,玉米（抗/感自交系）,叶片接种；病程多时间点,抗病转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize northern leaf blight "RNA-seq"；GSA 检索"玉米 大斑病 转录组",接种/对照、时间点、抗感品系,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-高 · 抗病模块,,
【B】玉米小斑病转录组（Bipolaris maydis）,玉米（抗/感自交系）,叶片接种；病程多时间点,抗病转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize southern leaf blight "RNA-seq",接种/对照、时间点,NCBI GEO/SRA,多课题组,公开,B-中 · 叶斑病补充,,
【B】玉米茎腐病/穗腐病转录组（Fusarium 属）,玉米（抗/感自交系）,茎秆/果穗接种 F. graminearum 或 F. verticillioides,抗病转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize Fusarium stalk/ear rot "RNA-seq"；GSA 检索"玉米 茎腐病 转录组",接种/对照、部位、时间点,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-高 · 穗腐/茎腐专项,,
【B】玉米丝黑穗病转录组（Sporisorium reilianum）,玉米（抗/感自交系）,苗期/成株接种，穗部与茎节,抗病转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize head smut "RNA-seq"；GSA 检索"玉米 丝黑穗病 转录组",接种/对照、组织,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-中 · 丝黑穗补充,,
【B】玉米南方锈病转录组（Puccinia polysora）,玉米（含抗锈近等基因系/抗源）,叶片接种；病程多时间点,抗病转录组（含抗性等位对比）,Raw/Annotated,多套（待检索）＋ NIL 对比数据,检索式：GEO maize southern corn rust "RNA-seq"；GSA 检索"玉米 锈病 转录组",抗源/NIL、接种/对照、时间点,NCBI GEO/SRA；CNCB GSA,多课题组,公开,B-高 · 锈病专项（华农焦点）,,
【B】亚洲玉米螟虫害应答转录组,玉米（多品系）,叶片/茎秆受害虫取食处理,虫害应答转录组（bulk RNA-seq）,Raw/Annotated,多套（待检索）,检索式：GEO maize insect herbivory "RNA-seq"（Ostrinia）,处理/对照、组织,NCBI GEO/SRA,多课题组,公开,B-中 · 虫害应答参考,,
【C】玉米单细胞顺式调控元件图谱（scATAC-seq，多组织）,玉米（B73 等多基因型）,多组织（根/茎/叶/花/穗等）单细胞核,单细胞表观组（scATAC-seq）,Annotated,多组织单细胞染色质可及性图谱（约 10 万核量级）,Marand et al. 2021 Cell 184:3041；DOI 10.1016/j.cell.2021.04.014,细胞类型/染色质可及性/CRE 注释,NCBI GEO GSE155178（已在总台账）,Marand et al. 2021（MSU/CSHL）,公开,C-高 · 单细胞表观基准,,
【C】玉米发育幼穗单细胞转录组（雌/雄穗）,玉米（B73 等）,发育中雌穗/雄穗,单细胞转录组（scRNA-seq）,Annotated,幼穗发育单细胞图谱,Xu et al. 2021 Dev Cell；DOI 10.1016/j.devcel.2020.12.015,细胞类型/发育轨迹/候选基因,SRA：PRJNA646989/646996/647001（已在总台账）,Xu et al. 2021（CSHL）,公开,C-高 · 生殖发育单细胞,,
【C】玉米茎尖分生组织（SAM）单核转录组,玉米（B73 等）,SAM 与叶原基,单核转录组（snRNA-seq）,Annotated,SAM 单核图谱（规模待核验）,Satterlee et al. 2020 PNAS（玉米 SAM 单核转录组；accessions 待核验）,细胞类型/SAM 分区注释,NCBI SRA（论文 Data availability）,Satterlee et al. 2020（Cornell）,公开,C-高 · 分生组织发育单细胞,,
【C】玉米胚乳单细胞转录组,玉米（B73）,授粉后 6-7 天胚乳,单细胞转录组（scRNA-seq）,Annotated,17,022 高质量细胞；检出 25,365 基因,Yuan et al.（Nat Commun 2024）；MaizeGenDB transcriptome_scrna 模块,细胞类型注释：糊粉层/淀粉胚乳/BETL/ESR/EAS,MaizeGenDB（ngdc.cncb.ac.cn/maizegendb/transcriptome_scrna）（已在总台账）,Yuan et al. 2024,公开,C-高 · 胚乳发育单细胞
【C】玉米根尖单细胞转录组（2025）,玉米（多基因型）,根尖（分生/分化区）,单细胞转录组（scRNA-seq）,Annotated,根尖单细胞图谱（Bian et al. 2025）,Front Plant Sci 2025；PMID 41393869；DOI 10.3389/fpls.2025.1666531（待核验）,细胞类型/发育动态,NCBI GEO/SRA（论文 Data availability）,Bian et al. 2025,公开,C-高 · 根系单细胞基准,,
【C】缺铁胁迫根尖单细胞转录组,玉米,根尖；缺铁处理,单细胞转录组（scRNA-seq）,Annotated,15,306 高质量细胞（缺铁根尖图谱）,Plant Cell Rep 2025；PMID 41175233,细胞类型/缺铁响应,NCBI GEO/SRA（论文 Data availability）,Yang et al. 2025,公开,C-中 · 逆境单细胞示范,
【C】南方锈病单核+空间转录组（抗病应答）,玉米,接种叶片；病程,单核转录组（snRNA-seq）＋空间转录组,Annotated,首个玉米锈病 snRNA+空间整合图谱,Wang et al. 2026 Adv Sci 13(27):e12295；PMID 41837846,细胞类型/免疫调控网络,以论文 Data availability 为准,Wang et al. 2026（中国农科院等）,公开,C-高 · 抗病单细胞+空间整合,,
【C】玉米茎尖分生组织花转变单细胞图谱,玉米（B73 等）,SAM 14-26 DAS（花转变窗口）,单细胞转录组（scRNA-seq）,Annotated,SAM 花转变 scRNA（与 bulk 时序配套）,Dong et al. 2026 Genome Biol 27:143；PMID 41851888,细胞类型/花转变轨迹,以论文 Data availability 为准,Dong et al. 2026（中国农大等）,公开,C-高 · 花转变单细胞,,
【C】玉米空间转录组图谱（Stereo-seq 等）,玉米（多基因型）,多组织/发育阶段,空间转录组,Annotated,玉米 Stereo-seq 图谱（2025 起多篇）,综述：IJMS 2025 26:11819；PMID 41465249（含玉米空间图谱清单）,空间域/细胞类型,以各论文 Data availability 为准,2025-2026 多课题组,公开,C-中 · 空间转录组扩展,,
【C】scMaize 玉米单细胞整合图谱与基础模型,玉米（多基因型）,多组织单细胞整合,单细胞多组学整合（scRNA 整合图谱+基础模型）,Annotated,整合多套玉米单细胞数据集,scMaize 2026；www.scmaize.com（已在总台账）,细胞类型注释/跨数据集整合,scMaizeAtlas（www.scmaize.com）,scMaize 2026,公开,C-高 · 整合图谱与模型基线,,
【C】FX-Cell 玉米根细胞图谱（冷冻/难消化样本方法）,玉米,冠根/根尖（含冷冻样本）,单细胞转录组（scRNA-seq，FX-Cell 方法）,Annotated,玉米冠根细胞图谱（cryoFX-Cell joint analysis）,Nat Methods 2025 22:2551；PMID 41310055,细胞类型/方法验证,NCBI GEO/SRA（论文 Data availability）,Ming et al. 2025（Nat Methods）,公开,C-中 · 根冠根单细胞+方法学参考,,
【C】玉米根时空单细胞图谱（spatiotemporal）,玉米,根发育时空采样,单细胞转录组（scRNA-seq 时空图谱）,Annotated,根时空 scRNA 图谱（综述 PMID 42037106 引用；具体规模待核验）,综述：J Integr Plant Biol 2026；PMID 42037106（"玉米根时空单细胞图谱"）,细胞类型/发育时空轨迹,以论文 Data availability 为准,2024-2026 多课题组,公开,C-中 · 时空单细胞,,
